item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,58137438254908.0,45535942846453.0,36705751751876.0,30937711076141.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,10522105729992.0,9315440438884.0,8279156683221.0,6440177174322.0
Tiền,Cash,cash,8084751080186.0,6725619929289.0,5975127685903.0,3880860111180.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2437354649806.0,2589820509595.0,2304028997318.0,2559317063142.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,29630986737440.0,21785213686808.0,16104205358010.0,13047234131950.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,14402017450105.0,11381523992803.0,9674343237344.0,8502895161839.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,12734600596550.0,10537019113380.0,9057647206985.0,7990076948983.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,952737932722.0,610379845664.0,482074732731.0,292916357080.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,200405269967.0,136097256629.0,176770894412.0,199252243559.0
Phải thu khác,Other receivables,other_receivables,1091244484321.0,707751585399.0,869491618296.0,719203074569.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-586166744274.0,-619531925859.0,-912156645080.0,-699436023253.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,2193769802339.0,1856756949030.0,1593411075233.0,1965787736563.0
Hàng tồn kho,Inventories,inventories,2277393610177.0,1990224486513.0,1724956924671.0,2121118039562.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-83623807838.0,-133467537483.0,-131545849438.0,-155330302999.0
Tài sản lưu động khác,Other current assets,other_current_assets,1388558535032.0,1197007778928.0,1054635398068.0,981616871467.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,641974035769.0,479707218558.0,449245737865.0,409346699247.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,609517465104.0,648697117785.0,528984574991.0,392864305787.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,137067034159.0,68603442585.0,76405085212.0,179405866433.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,30004553379717.0,26464052832167.0,23577075781023.0,20712692658989.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,564342065270.0,331646166008.0,247392102550.0,225090876189.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,611435814893.0,381508926294.0,299764585187.0,276273436689.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-52372482637.0,-52372482637.0,-52372482637.0,-52372482637.0
Tài sản cố định,Fixed assets,fixed_assets,17288541848861.0,14816131186204.0,13643232649833.0,12032914964907.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,15359168484059.0,12774567961718.0,12382116875249.0,10714231138520.0
Nguyên giá TSCĐ hữu hình,Cost,cost,29122042372002.0,24457733666511.0,22288962278190.0,19007982397113.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-13762873887943.0,-11683165704793.0,-9906845402941.0,-8293751258593.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,1277212606.0,2042708364.0,4018633151.0,31623636433.0
Nguyên giá tài sản thuê tài chính,Cost,cost,5871006196.0,5716034788.0,8032465332.0,54439419528.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-4593793590.0,-3673326424.0,-4013832181.0,-22815783095.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,1928096152196.0,2039520516122.0,1257097141433.0,1287060189954.0
Nguyên giá TSCĐ vô hình,Cost,cost,3868883110367.0,3656302027788.0,2595586732247.0,2547883324785.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-1940786958171.0,-1616781511666.0,-1338489590814.0,-1260823134831.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,4737863994182.0,3318095237260.0,3335009108332.0,3238299217787.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,3581128517425.0,2281222436752.0,2107616686383.0,2205736337693.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,3823762975906.0,3393737969842.0,2830348813038.0,2399073118584.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-2667027499149.0,-2357065169334.0,-1623156391089.0,-1376710238490.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,5808727466506.0,5438413518284.0,5036171784305.0,4154202857855.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,4200230383066.0,3765187625417.0,3391434748762.0,3488252134893.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,592766817279.0,575767686189.0,360946956414.0,258005875001.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,88141991634625.0,71999995678620.0,60282827532899.0,51650403735130.0
NỢ PHẢI TRẢ,Liabilities,liabilities,44393950887086.0,36272455573820.0,30349816316666.0,26294279047318.0
Nợ ngắn hạn,Current liabilities,current_liabilities,41524928721230.0,34836184067740.0,29651673556227.0,24521161696202.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,19169697497955.0,14446238451323.0,13837894474107.0,10904344845014.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,3837081314767.0,4423912840298.0,2602977290710.0,3209205494368.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,734726007595.0,562066755666.0,602010036721.0,491097603761.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,2199487107880.0,2298821801748.0,1432356605157.0,670648917592.0
Phải trả người lao động,Payable to employees,payable_to_employees,5724811126353.0,4341013546853.0,3734341060086.0,3276698433947.0
Chi phí phải trả,Accrued expenses,accrued_expenses,1765446702057.0,1241089122260.0,848293082410.0,807640094658.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,85650109236.0,92738882375.0,78456375540.0,78663541041.0
Phải trả khác,Other payables,other_payables,1014754880632.0,874015837328.0,1015101605957.0,568807386283.0
Dự phòng các khoản phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,599498384069.0,496600145127.0,417401434437.0,251132995783.0
"Quỹ khen thưởng, phúc lợi",Bonus and welfare funds,bonus_and_welfare_funds,2160076871985.0,1835037318363.0,1462636131060.0,1062521021900.0
Nợ dài hạn,Long-term liabilities,long_term_liabilities,2869022165856.0,1436271506080.0,698142760439.0,1773117351116.0
Phải trả nhà cung cấp dài hạn,Long-term trade payables,long_term_trade_payables,0.0,0.0,0.0,0.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,0.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,149213186822.0,183788442785.0,41914135058.0,28146819108.0
Vay dài hạn,Long-term borrowings,long_term_borrowings,1903789988184.0,501115537075.0,208074996962.0,1477830333990.0
