item,item_en,item_id,2025,2024,2023,2022
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,cash_and_precious_metals,4965786000000.0,3349166000000.0,3675394000000.0,3744100000000.0
Tài sản cố định,Fixed assets,fixed_assets,5616547000000.0,5430416000000.0,4854186000000.0,5073508000000.0
Tài sản cố định hữu hình,Tangible fixed assets,tangible_fixed_assets,3805533000000.0,3750696000000.0,3194404000000.0,3457561000000.0
Nguyên giá TSCĐ hữu hình,Cost,cost,9423236000000.0,9014672000000.0,7732608000000.0,7110562000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-5617703000000.0,-5263976000000.0,-4538204000000.0,-3653001000000.0
Tài sản cố định thuê tài chính,Finance leased assets,finance_leased_assets,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,1811014000000.0,1679720000000.0,1659782000000.0,1615947000000.0
Nguyên giá TSCĐ vô hình,Cost,cost,5684904000000.0,4976669000000.0,4196144000000.0,3565092000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,accumulated_amortization,-3873890000000.0,-3296949000000.0,-2536362000000.0,-1949145000000.0
Bất động sản đầu tư,Investment properties,investment_properties,222813000000.0,234115000000.0,240294000000.0,236177000000.0
Nguyên giá bất động sản đầu tư,Historical cost,historical_cost,255126000000.0,260415000000.0,260415000000.0,250155000000.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,accumulated_depreciation,-32313000000.0,-26300000000.0,-20121000000.0,-13978000000.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,investment_in_other_entities_and_long_term_investments,468396000000.0,609477000000.0,615785000000.0,625267000000.0
Đầu tư vào công ty con,Investment in subsidiaries,investment_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,investment_in_associate_companies,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other Long-term investments,other_long_term_investments,559624000000.0,775670000000.0,779587000000.0,768763000000.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,-91228000000.0,-166193000000.0,-163802000000.0,-143496000000.0
TỔNG TÀI SẢN,TOTAL ASSETS,total_assets,1615763927000000.0,1128801062000000.0,944953640000000.0,728532373000000.0
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,total_liabilities,1473741402000000.0,1011741481000000.0,848242481000000.0,648919154000000.0
VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,owners_equity,142022525000000.0,117059581000000.0,96711159000000.0,79613219000000.0
Vốn điều lệ,Charter capital,charter_capital,80549999000000.0,53063241000000.0,52140841000000.0,45339861000000.0
Thặng dư vốn cổ phần,Capital surplus,capital_surplus,1304334000000.0,1304334000000.0,869327000000.0,869327000000.0
Vốn khác,Owner's other capital,owners_other_capital,2111211000000.0,1928258000000.0,1928258000000.0,1387521000000.0
Cổ phiếu Quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation,difference_upon_assets_revaluation,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve,foreign_currency_difference_reserve,202211000000.0,137797000000.0,45939000000.0,0.0
Lợi nhuận chưa phân phối,Retained Earnings,retained_earnings,32577391000000.0,40718224000000.0,25559753000000.0,19063767000000.0
Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015),minority_interest_before_2015,0.0,0.0,0.0,0.0
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,liabilities_and_shareholders_equity,1615763927000000.0,1128801062000000.0,944953640000000.0,728532373000000.0
Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV,balances_with_the_sbv,68494426000000.0,29825253000000.0,66321652000000.0,39654541000000.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,placements_with_and_loans_to_other_credit_institutions,182923726000000.0,76785622000000.0,46343813000000.0,32937210000000.0
Chứng khoán kinh doanh,"Trading securities, net",trading_securities_net,4653229000000.0,7931655000000.0,44250788000000.0,4105550000000.0
Chứng khoán kinh doanh,Trading securities,trading_securities,4692622000000.0,7931834000000.0,44251400000000.0,4107470000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities,less_provision_for_diminution_in_value_of_trading_securities,-39393000000.0,-179000000.0,-612000000.0,-1920000000.0
Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivatives and other financial assets,derivatives_and_other_financial_assets,0.0,0.0,141294000000.0,69503000000.0
