item,item_en,item_id,2025,2024,2023,2022
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,156836115054975.0,135225101298992.0,119234184825086.0,134722248887557.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-907969435608.0,-883948450190.0,-954396369644.0,-1317471297033.0
Doanh thu thuần,Net sales,net_sales,155928145619367.0,134341152848802.0,118279788455442.0,133404777590524.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-124926268219546.0,-106841942771781.0,-95759175291712.0,-102542735094343.0
Lợi nhuận gộp,Gross Profit,gross_profit,31001877399821.0,27499210077021.0,22520613163730.0,30862042496181.0
Doanh thu hoạt động tài chính,Financial income,financial_income,3107348733939.0,2376502605263.0,2166963715091.0,1313137304323.0
Chi phí tài chính,Financial expenses,financial_expenses,-1542518673463.0,-1188465609510.0,-1556146106982.0,-1382620454532.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1470675593604.0,-1137236129748.0,-1447718354797.0,-1362143909103.0
Chi phí bán hàng,Selling expenses,selling_expenses,-19330903536858.0,-19849837609882.0,-20916710755306.0,-22336838067678.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-4596074513172.0,-3565767583102.0,-1167651662536.0,-1881027579714.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,8664080489454.0,5227045424891.0,1047068353997.0,6574693698580.0
Thu nhập khác,Other incomes,other_incomes,52777770887.0,25743895664.0,36883419051.0,61606712681.0
Chi phí khác,Other expenses,other_expenses,-83790676915.0,-427026307477.0,-394259405152.0,-579945037703.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-31012906028.0,-401282411813.0,-357375986101.0,-518338325022.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,8633067583426.0,4825763013078.0,689692367896.0,6056355373558.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-1721559523168.0,-1282537116919.0,-433257176515.0,-1792998810102.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,161114825617.0,190062332561.0,-88606036442.0,-161642138517.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-1560444697551.0,-1092474784358.0,-521863212957.0,-1954640948619.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,7072622885875.0,3733288228720.0,167829154939.0,4101714424939.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,38892115706.0,11419787059.0,159762235.0,1951397634.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,7033730770169.0,3721868441661.0,167669392704.0,4099763027305.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,4774.0,2546.0,115.0,2810.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,4774.0,2546.0,115.0,2810.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,24351079187.0,-44596454899.0,0.0,0.0
