item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,18614031193890.0,15692597267632.0,12958118192260.0,11966357761798.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,522025257031.0,1122712392130.0,896147917336.0,879548130711.0
Tiền,Cash,cash,438425257031.0,1022712392130.0,896147917336.0,879548130711.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,83600000000.0,100000000000.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2007488137408.0,1020170000000.0,810100000000.0,200000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,97918137408.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,153980309545.0,401134922152.0,215035937840.0,300880402245.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,48760415990.0,70851635761.0,69277567110.0,56532707659.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,38085152243.0,253102611434.0,27775617785.0,68902837213.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,90681158676.0,64867442121.0,32980198226.0,37641170145.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-31918617346.0,-28518444279.0,-5049680837.0,-2862909308.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,15835334529837.0,13015170477311.0,10940937959289.0,10506054932284.0
Hàng tồn kho,Inventories,inventories,15881309718303.0,13074586927914.0,10944749006797.0,10508065026916.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-45975188466.0,-59416450603.0,-3811047508.0,-2010094632.0
Tài sản lưu động khác,Other current assets,other_current_assets,95202960069.0,133409476039.0,95896377795.0,79874296558.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,94862372660.0,132726608716.0,94051248427.0,74007356286.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,234579085.0,682867323.0,1845129368.0,5866940272.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,106008324.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,1549599053151.0,1515133510053.0,1469439823096.0,1370766887448.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,121168536356.0,115599492454.0,104636239106.0,93956493011.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,121168536356.0,115599492454.0,104636239106.0,93956493011.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,855770473476.0,857118818527.0,882715109732.0,882432821075.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,236245161003.0,248430247930.0,256373758673.0,239734551747.0
Nguyên giá TSCĐ hữu hình,Cost,cost,845032678156.0,796271142120.0,747570855214.0,672781337441.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-608787517153.0,-547840894190.0,-491197096541.0,-433046785694.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,619525312473.0,608688570597.0,626341351059.0,642698269328.0
Nguyên giá TSCĐ vô hình,Cost,cost,734945157553.0,708142194553.0,708071904553.0,707010800099.0
