item,item_en,item_id,2025,2024,2023,2022
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,net_accounting_profit_loss_before_tax,32538066000000.0,27538368000000.0,22888228000000.0,25567768000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,business_income_tax_current,-6544225000000.0,-5787711000000.0,-4706721000000.0,-5174932000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,business_income_tax_deferred,-39369000000.0,9447000000.0,9359000000.0,43590000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,business_income_tax_expenses,-6583594000000.0,-5778264000000.0,-4697362000000.0,-5131342000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,25954472000000.0,21760104000000.0,18190866000000.0,20436426000000.0
Lợi ích của cổ đông thiểu số,Minority interest,minority_interest,-664242000000.0,-237176000000.0,-187064000000.0,-286049000000.0
Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,25290230000000.0,21522928000000.0,18003802000000.0,20150377000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3572.0,3049.0,2549.0,5725.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,interest_and_similar_income,68017450000000.0,60089462000000.0,56707759000000.0,44752636000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,interest_and_similar_expenses,-29862359000000.0,-24581499000000.0,-29016639000000.0,-14462861000000.0
Thu nhập lãi thuần,Net Interest Income,net_interest_income,38155091000000.0,35507963000000.0,27691120000000.0,30289775000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,fees_and_commission_income,12526963000000.0,10961642000000.0,11378085000000.0,10840337000000.0
Chi phí dịch vụ,Fees and Commission Expenses,fees_and_commission_expenses,-3754968000000.0,-2919394000000.0,-2663188000000.0,-2687732000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,net_fee_and_commission_income,8771995000000.0,8042248000000.0,8714897000000.0,8152605000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,net_gain_loss_from_foreign_currency_and_gold_dealings,1642201000000.0,592556000000.0,195750000000.0,-275063000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,net_gain_loss_from_trading_of_trading_securities,51974000000.0,81301000000.0,64620000000.0,-241845000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,net_gain_loss_from_disposal_of_investment_securities,2846321000000.0,2359057000000.0,925833000000.0,425553000000.0
Thu nhập khác,Other Income,other_income,6426334000000.0,9324928000000.0,6459694000000.0,4499949000000.0
Chi phí khác,Other Expenses,other_expenses,-4541992000000.0,-8982217000000.0,-4025578000000.0,-2332574000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,net_other_income_expenses,1884342000000.0,342711000000.0,2434116000000.0,2167375000000.0
Thu nhập từ cổ tức,Dividends Income,dividends_income,39201000000.0,64561000000.0,34756000000.0,8791000000.0
Tổng thu nhập hoạt động,Total Operating Income,total_operating_income,53391125000000.0,46990397000000.0,40061092000000.0,40527191000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,general_and_admin_expenses,-16432434000000.0,-15369735000000.0,-13251796000000.0,-13023129000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,net_operating_profit_before_allowance_for_credit_loss,36958691000000.0,31620662000000.0,26809296000000.0,27504062000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,provision_for_credit_losses,-4420625000000.0,-4082294000000.0,-3921068000000.0,-1936294000000.0
