item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,76612765855403.0,49394749963613.0,40628257426641.0,25948479990644.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3108078221717.0,2864601041636.0,4582180994188.0,2404813202406.0
Tiền,Cash,cash,3108078221717.0,2864601041636.0,4547180994188.0,2404813202406.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,35000000000.0,0.0
Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL),financial_assets_at_fair_value_through_profit_or_loss_fvtpl,38923020900.0,17278163500.0,0.0,0.0
Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for diminution,provision_for_diminution,-12757948678.0,-10806072274.0,-4774603364.0,-3599620.0
Tổng các khoản phải thu,Accounts receivable,accounts_receivable,727456098295.0,656597329458.0,3064760726090.0,3658318396519.0
Phải thu khách hàng (Trước năm 2016),Trade accounts receivable (Before 2016),trade_accounts_receivable_before_2016,0.0,0.0,0.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,5729878954.0,1949853033.0,1707458921.0,1512267704.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu về XDCB (Trước năm 2016),Construction contract in progress receivables (Before 2016),construction_contract_in_progress_receivables_before_2016,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,2271195630.0,22076558945.0,2709273571142.0,3450110238837.0
Dự phòng nợ khó đòi (Trước năm 2016),Provision for doubtful debts (Before 2016),provision_for_doubtful_debts_before_2016,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng (Trước năm 2016)","Inventories, Net (Before 2016)",inventories_net_before_2016,0.0,0.0,0.0,0.0
Hàng tồn kho (Trước năm 2016),Inventories (Before 2016),inventories_before_2016,0.0,0.0,0.0,0.0
Dự phòng giảm giá HTK (Trước năm 2016),Provision for decline in inventories (Before 2016),provision_for_decline_in_inventories_before_2016,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,15472433711.0,53177959656.0,34102287159.0,18621853899.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,13408458353.0,52699169656.0,33780597159.0,7373703649.0
Thuế giá trị gia tăng được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0
Thuế và các khoản khác phải thu Nhà nước,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,0.0
Tài sản ngắn hạn khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,4019491143606.0,3849383856581.0,3160172027968.0,143067748219.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn (Trước năm 2016),Long-term intercompany receivables (Before 2016),long_term_intercompany_receivables_before_2016,0.0,0.0,0.0,0.0
Phải thu dài hạn khác (Trước năm 2016),Other long-term receivables (Before 2016),other_long_term_receivables_before_2016,0.0,0.0,0.0,0.0
Dự phòng phải thu dài hạn (Trước năm 2016),Provision for doubtful LT receivable (Before 2016),provision_for_doubtful_lt_receivable_before_2016,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,107181206706.0,50740739690.0,64589748067.0,84726784106.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,33220423249.0,39993555777.0,50134678668.0,68067359617.0
Nguyên giá TSCĐ hữu hình,Historical Cost,historical_cost,126797126020.0,117475687200.0,109934766200.0,110681859040.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-93576702771.0,-77482131423.0,-59800087532.0,-42614499423.0
GTCL Tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Historical Cost,historical_cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,73960783457.0,10747183913.0,14455069399.0,16659424489.0
Nguyên giá TSCĐ vô hình,Historical Cost,historical_cost,138768470729.0,66775606490.0,64600335490.0,61426279490.0
Khấu khao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-64807687272.0,-56028422577.0,-50145266091.0,-44766855001.0
Xây dựng cơ bản dở dang (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0
Bất động sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Historical Cost,historical_cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,3610268431824.0,3533431775000.0,3033431775000.0,0.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,0.0,0.0,0.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,3200268431824.0,3033431775000.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,248276291750.0,256740022659.0,59493017350.0,58340964113.0
Chi phí trả trước dài hạn,Long-term prepayments,long_term_prepayments,16980000795.0,8909838294.0,8860645504.0,14257812698.0
Tài sản thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,17804201744.0,23846393223.0,24188580704.0,20791943497.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,10083869378.0,10000000000.0,10000000000.0,10000000000.0
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,total_assets,80632256999009.0,53244133820194.0,43788429454609.0,26091547738863.0
NỢ PHẢI TRẢ,LIABILITIES,liabilities,36532676815634.0,26947161543516.0,20158922867321.0,15102289530963.0
Nợ phải trả ngắn hạn,Current liabilities,current_liabilities,35016932279815.0,25934267565771.0,19197091992778.0,13378593348270.0
Vay và nợ thuê tài sản tài chính ngắn hạn,Short-term borrowings,short_term_borrowings,31079695096211.0,20522995942980.0,18061885497900.0,6871600000000.0
Phải trả người bán ngắn hạn,Trade accounts payable,trade_accounts_payable,2000410883.0,66489220.0,606772700.0,240252940500.0
Người mua trả tiền trước ngắn hạn,Advances from customers,advances_from_customers,0.0,126000000000.0,0.0,0.0
Thuế và các khoản phải nộp nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,1384739664586.0,878447688270.0,496359203753.0,316020156985.0
Phải trả người lao động,Payable to employees,payable_to_employees,231830280548.0,183986993939.0,145714265723.0,123723915438.0
Chi phí phải trả ngắn hạn,Accrued expenses,accrued_expenses,265828841247.0,191122324100.0,136932073861.0,132305599362.0
Phải trả nội bộ ngắn hạn,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0
Phải trả về xây dựng cơ bản (Trước năm 2016),Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0,0.0
"Các khoản phải trả, phải nộp khác ngắn hạn",Other payables,other_payables,120138271307.0,174100135424.0,119141014630.0,121870618991.0
Dự phòng phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,0.0,0.0,0.0,0.0
Quỹ khen thưởng phúc lợi,Bonus and welfare funds,bonus_and_welfare_funds,290000000.0,290000000.0,290000000.0,350000000.0
Nợ phải trả dài hạn,Long-term liabilities,long_term_liabilities,1515744535819.0,1012893977745.0,961830874543.0,1723696182693.0
Phải trả người bán dài hạn,Long-term trade payables,long_term_trade_payables,0.0,0.0,0.0,0.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,0.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,0.0,0.0,0.0,0.0
Vay và nợ thuê tài sản tài chính dài hạn,Long-term borrowings,long_term_borrowings,0.0,0.0,0.0,0.0
Thuế thu nhập hoãn lại phải trả,Deferred income tax liabilities,deferred_income_tax_liabilities,0.0,0.0,0.0,0.0
Dự phòng trợ cấp thôi việc (Trước năm 2016),Provision for severance allowances (Before 2016),provision_for_severance_allowances_before_2016,0.0,0.0,0.0,0.0
Dự phòng phải trả dài hạn,Provision for long-term liabilities,provision_for_long_term_liabilities,0.0,0.0,0.0,0.0
Doanh thu chưa thực hiên dài hạn,Deferred revenue,deferred_revenue,5743148982.0,6512947402.0,6030077736.0,15031084236.0
Quỹ phát triển khoa học công nghệ,Technology-science development fund,technology_science_development_fund,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Owner's Equity,owners_equity,44099580183375.0,26296972276678.0,23629506587288.0,10989258207900.0
Vốn góp của chủ sở hữu,Paid-in capital,paid_in_capital,23113080210000.0,19613221200000.0,2176994200000.0,1126140700000.0
Thặng dư vốn cổ phần,Capital surplus,capital_surplus,8606980418518.0,0.0,9191910000000.0,0.0
Vốn khác của chủ sở hữu,Owner's other capital,owners_other_capital,0.0,0.0,0.0,0.0
Cổ phiếu quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,Differences upon asset revaluation,differences_upon_asset_revaluation,7475370203.0,-4961252868.0,-16520032167.0,-10561943926.0
Chênh lệch tỷ giá hổi đoái,Foreign exchange differences,foreign_exchange_differences,0.0,0.0,0.0,0.0
Quỹ đầu tư và phát triển (Trước năm 2016),Investment and development funds (Before 2016),investment_and_development_funds_before_2016,0.0,0.0,0.0,0.0
Quỹ dự phòng tài chính và rủi ro nghiệp vụ,Financial reserve funds,financial_reserve_funds,0.0,0.0,0.0,0.0
